Item,Prices,Month
GeForce RTX 3090,2341.00,22-Feb
GeForce RTX 3080 Ti,1721.00,22-Feb
GeForce RTX 3080,1440.00,22-Feb
GeForce RTX 3070 Ti,1001.00,22-Feb
GeForce RTX 3070,988.00,22-Feb
GeForce RTX 3060 Ti,847.00,22-Feb
GeForce RTX 3060 12GB,636.00,22-Feb
Radeon RX 6900 XT,1421.00,22-Feb
Radeon RX 6800 XT,1176.00,22-Feb
Radeon RX 6800,1033.00,22-Feb
Radeon RX 6700 XT,783.00,22-Feb
Radeon RX 6600 XT,568.00,22-Feb
Etherium,2629.48,22-Feb
GeForce RTX 3090,2609.00,22-Jan
GeForce RTX 3080 Ti,1874.00,22-Jan
GeForce RTX 3080,1613.00,22-Jan
GeForce RTX 3070 Ti,1179.00,22-Jan
GeForce RTX 3070,1086.00,22-Jan
GeForce RTX 3060 Ti,923.00,22-Jan
GeForce RTX 3060 12GB,711.00,22-Jan
Radeon RX 6900 XT,1528.00,22-Jan
Radeon RX 6800 XT,1269.00,22-Jan
Radeon RX 6800,1150.00,22-Jan
Radeon RX 6700 XT,847.00,22-Jan
Radeon RX 6600 XT,610.00,22-Jan
Etherium,2604.37,22-Jan
GeForce RTX 3090,2918.00,21-Dec
GeForce RTX 3080 Ti,1992.00,21-Dec
GeForce RTX 3080,1783.00,21-Dec
GeForce RTX 3070 Ti,1244.00,21-Dec
GeForce RTX 3070,1179.00,21-Dec
GeForce RTX 3060 Ti,1007.00,21-Dec
GeForce RTX 3060 12GB,761.00,21-Dec
Radeon RX 6900 XT,1527.00,21-Dec
Radeon RX 6800 XT,1387.00,21-Dec
Radeon RX 6800,1282.00,21-Dec
Radeon RX 6700 XT,898.00,21-Dec
Radeon RX 6600 XT,659.00,21-Dec
Etherium,3710.00,21-Dec
GeForce RTX 3090,2936.00,21-Nov
GeForce RTX 3080 Ti,1895.00,21-Nov
GeForce RTX 3080,1720.00,21-Nov
GeForce RTX 3070 Ti,1201.00,21-Nov
GeForce RTX 3070,1193.00,21-Nov
GeForce RTX 3060 Ti,1002.00,21-Nov
GeForce RTX 3060 12GB,749.00,21-Nov
Radeon RX 6900 XT,1599.00,21-Nov
Radeon RX 6800 XT,1384.00,21-Nov
Radeon RX 6800,1332.00,21-Nov
Radeon RX 6700 XT,945.00,21-Nov
Etherium,4426.74,21-Nov
Radeon RX 6600 XT,665.00,21-Nov
GeForce RTX 3090,2737.00,21-Oct
GeForce RTX 3080 Ti,1829.00,21-Oct
GeForce RTX 3080,1666.00,21-Oct
GeForce RTX 3070 Ti,1124.00,21-Oct
GeForce RTX 3070,1144.00,21-Oct
GeForce RTX 3060 Ti,907.00,21-Oct
GeForce RTX 3060 12GB,698.00,21-Oct
Radeon RX 6900 XT,1512.00,21-Oct
Radeon RX 6800 XT,1314.00,21-Oct
Radeon RX 6800,1260.00,21-Oct
Radeon RX 6700 XT,859.00,21-Oct
Radeon RX 6600 XT,631.00,21-Oct
Etherium,4298.44,21-Oct
GeForce RTX 3090,2702.00,21-Sep
GeForce RTX 3080 Ti,1831.00,21-Sep
GeForce RTX 3080,1677.00,21-Sep
GeForce RTX 3070 Ti,1172.00,21-Sep
GeForce RTX 3070,1210.00,21-Sep
GeForce RTX 3060 Ti,915.00,21-Sep
GeForce RTX 3060 12GB,700.00,21-Sep
Radeon RX 6900 XT,1546.00,21-Sep
Radeon RX 6800 XT,1323.00,21-Sep
Radeon RX 6800,1293.00,21-Sep
Radeon RX 6700 XT,858.00,21-Sep
Radeon RX 6600 XT,591.00,21-Sep
Etherium,4298.00,21-Sep
