GPUs,Prices,Sold,Month,Etherium Price,Company
GeForce RTX 3060 12GB,580,1135,22-Mar,3383.79,Nvidia
GeForce RTX 3060 12GB,636,1485,22-Feb,2629.48,Nvidia
GeForce RTX 3060 12GB,711,1834,21-Jan,2604.37,Nvidia
GeForce RTX 3060 12GB,761,2020,21-Dec,3710.23,Nvidia
GeForce RTX 3060 12GB,749,2159,21-Nov,4426.74,Nvidia
GeForce RTX 3060 12GB,698,2446,21-Oct,4298.43,Nvidia
GeForce RTX 3060 12GB,700,3087,21-Sep,2838.95,Nvidia
GeForce RTX 3070 Ti,880,1097,22-Mar,3383.79,Nvidia
GeForce RTX 3070 Ti,1001,929,22-Feb,2629.48,Nvidia
GeForce RTX 3070 Ti,1179,1010,21-Jan,2604.37,Nvidia
GeForce RTX 3070 Ti,1244,1063,21-Dec,3710.23,Nvidia
GeForce RTX 3070 Ti,1201,1258,21-Nov,4426.74,Nvidia
GeForce RTX 3070 Ti,1124,1508,21-Oct,4298.43,Nvidia
GeForce RTX 3070 Ti,1172,935,21-Sep,2838.95,Nvidia
GeForce RTX 3080 Ti,1531,687,22-Mar,3383.79,Nvidia
GeForce RTX 3080 Ti,1721,753,22-Feb,2629.48,Nvidia
GeForce RTX 3080 Ti,1874,871,21-Jan,2604.37,Nvidia
GeForce RTX 3080 Ti,1992,1141,21-Dec,3710.23,Nvidia
GeForce RTX 3080 Ti,1895,1483,21-Nov,4426.74,Nvidia
GeForce RTX 3080 Ti,1829,1439,21-Oct,4298.43,Nvidia
GeForce RTX 3080 Ti,1831,1263,21-Sep,2838.95,Nvidia
GeForce RTX 3090,2111,983,22-Mar,3383.79,Nvidia
GeForce RTX 3090,2341,968,22-Feb,2629.48,Nvidia
GeForce RTX 3090,2609,1353,21-Jan,2604.37,Nvidia
GeForce RTX 3090,2918,1295,21-Dec,3710.23,Nvidia
GeForce RTX 3090,2936,1305,21-Nov,4426.74,Nvidia
GeForce RTX 3090,2737,1463,21-Oct,4298.43,Nvidia
GeForce RTX 3090,2702,1445,21-Sep,2838.95,Nvidia
