GPUs,Prices,Sold,Month,Etherium Price,Company
GeForce RTX 3060 12GB,580,1135,22-Mar,3383.79,Nvidia
GeForce RTX 3060 12GB,636,1485,22-Feb,2629.48,Nvidia
GeForce RTX 3060 12GB,711,1834,21-Jan,2604.37,Nvidia
GeForce RTX 3060 12GB,761,2020,21-Dec,3710.23,Nvidia
GeForce RTX 3060 12GB,749,2159,21-Nov,4426.74,Nvidia
GeForce RTX 3060 12GB,698,2446,21-Oct,4298.43,Nvidia
GeForce RTX 3060 12GB,700,3087,21-Sep,2838.95,Nvidia
GeForce RTX 3070 Ti,880,1097,22-Mar,3383.79,Nvidia
GeForce RTX 3070 Ti,1001,929,22-Feb,2629.48,Nvidia
GeForce RTX 3070 Ti,1179,1010,21-Jan,2604.37,Nvidia
GeForce RTX 3070 Ti,1244,1063,21-Dec,3710.23,Nvidia
GeForce RTX 3070 Ti,1201,1258,21-Nov,4426.74,Nvidia
GeForce RTX 3070 Ti,1124,1508,21-Oct,4298.43,Nvidia
GeForce RTX 3070 Ti,1172,935,21-Sep,2838.95,Nvidia
GeForce RTX 3080 Ti,1531,687,22-Mar,3383.79,Nvidia
GeForce RTX 3080 Ti,1721,753,22-Feb,2629.48,Nvidia
GeForce RTX 3080 Ti,1874,871,21-Jan,2604.37,Nvidia
GeForce RTX 3080 Ti,1992,1141,21-Dec,3710.23,Nvidia
GeForce RTX 3080 Ti,1895,1483,21-Nov,4426.74,Nvidia
GeForce RTX 3080 Ti,1829,1439,21-Oct,4298.43,Nvidia
GeForce RTX 3080 Ti,1831,1263,21-Sep,2838.95,Nvidia
GeForce RTX 3090,111,983,22-Mar,3383.79,Nvidia
GeForce RTX 3090,341,968,22-Feb,2629.48,Nvidia
GeForce RTX 3090,609,1353,21-Jan,2604.37,Nvidia
GeForce RTX 3090,918,1295,21-Dec,3710.23,Nvidia
GeForce RTX 3090,936,1305,21-Nov,4426.74,Nvidia
GeForce RTX 3090,737,1463,21-Oct,4298.43,Nvidia
GeForce RTX 3090,702,1445,21-Sep,2838.95,Nvidia
Radeon RX 6600 XT,495,485,22-Mar,3383.79,AMD
Radeon RX 6600 XT,568,320,22-Feb,2629.48,AMD
Radeon RX 6600 XT,610,537,21-Jan,2604.37,AMD
Radeon RX 6600 XT,659,282,21-Dec,3710.23,AMD
Radeon RX 6600 XT,665,857,21-Nov,4426.74,AMD
Radeon RX 6600 XT,631,1026,21-Oct,4298.43,AMD
Radeon RX 6600 XT,591,1236,21-Sep,2838.95,AMD
Radeon RX 6700 XT,643,570,22-Mar,3383.79,AMD
Radeon RX 6700 XT,783,398,22-Feb,2629.48,AMD
Radeon RX 6700 XT,847,540,21-Jan,2604.37,AMD
Radeon RX 6700 XT,898,584,21-Dec,3710.23,AMD
Radeon RX 6700 XT,945,661,21-Nov,4426.74,AMD
Radeon RX 6700 XT,859,906,21-Oct,4298.43,AMD
Radeon RX 6700 XT,858,838,21-Sep,2838.95,AMD
Radeon RX 6800 XT,996,254,22-Mar,3383.79,AMD
Radeon RX 6800 XT,1176,192,22-Feb,2629.48,AMD
Radeon RX 6800 XT,1269,250,21-Jan,2604.37,AMD
Radeon RX 6800 XT,1387,234,21-Dec,3710.23,AMD
Radeon RX 6800 XT,1384,283,21-Nov,4426.74,AMD
Radeon RX 6800 XT,1314,285,21-Oct,4298.43,AMD
Radeon RX 6800 XT,1323,321,21-Sep,2838.95,AMD
Radeon RX 6900 XT,1256,173,22-Mar,3383.79,AMD
Radeon RX 6900 XT,1421,139,22-Feb,2629.48,AMD
Radeon RX 6900 XT,1528,209,21-Jan,2604.37,AMD
Radeon RX 6900 XT,1527,236,21-Dec,3710.23,AMD
Radeon RX 6900 XT,1599,206,21-Nov,4426.74,AMD
Radeon RX 6900 XT,1512,302,21-Oct,4298.43,AMD
Radeon RX 6900 XT,1546,189,21-Sep,2838.95,AMD
