,GPUs,Prices,Sold,Month,Etherium Price
0,GeForce RTX 3090 Ti,"$2,724",11,Mar 2022,3383.79
1,GeForce RTX 3090,"$2,111",983,Mar 2022,3383.79
2,GeForce RTX 3080 Ti,"$1,531",687,Mar 2022,3383.79
3,GeForce RTX 3080 12GB,"$1,378",69,Mar 2022,3383.79
4,GeForce RTX 3080,"$1,283",1355,Mar 2022,3383.79
5,GeForce RTX 3070 Ti,$880,1097,Mar 2022,3383.79
6,GeForce RTX 3070,$858,1567,Mar 2022,3383.79
7,GeForce RTX 3060 Ti,$754,1935,Mar 2022,3383.79
8,GeForce RTX 3060 12GB,$580,1135,Mar 2022,3383.79
9,GeForce RTX 3050,$416,221,Mar 2022,3383.79
10,Radeon RX 6900 XT,"$1,256",173,Mar 2022,3383.79
11,Radeon RX 6800 XT,$996,254,Mar 2022,3383.79
12,Radeon RX 6800,$888,98,Mar 2022,3383.79
13,Radeon RX 6700 XT,$643,570,Mar 2022,3383.79
14,Radeon RX 6600 XT,$495,485,Mar 2022,3383.79
15,Radeon RX 6600,$403,274,Mar 2022,3383.79
16,Radeon RX 6500 XT,$237,69,Mar 2022,3383.79
17,GeForce RTX 3090,"$2,341",968,Feb 2022,2629.48
18,GeForce RTX 3080 Ti,"$1,721",753,Feb 2022,2629.48
19,GeForce RTX 3080 12GB,"$1,547",82,Feb 2022,2629.48
20,GeForce RTX 3080,"$1,440",1222,Feb 2022,2629.48
21,GeForce RTX 3070 Ti,"$1,001",929,Feb 2022,2629.48
22,GeForce RTX 3070,$988,1512,Feb 2022,2629.48
23,GeForce RTX 3060 Ti,$847,2084,Feb 2022,2629.48
24,GeForce RTX 3060 12GB,$636,1485,Feb 2022,2629.48
25,GeForce RTX 3050,$455,330,Feb 2022,2629.48
26,Radeon RX 6900 XT,"$1,421",139,Feb 2022,2629.48
27,Radeon RX 6800 XT,"$1,176",192,Feb 2022,2629.48
28,Radeon RX 6800,"$1,033",112,Feb 2022,2629.48
29,Radeon RX 6700 XT,$783,398,Feb 2022,2629.48
30,Radeon RX 6600 XT,$568,320,Feb 2022,2629.48
31,Radeon RX 6600,$463,239,Feb 2022,2629.48
32,Radeon RX 6500 XT,$272,124,Feb 2022,2629.48
33,GeForce RTX 3090,"$2,609",1353,Jan 2022,2604.37
34,GeForce RTX 3080 Ti,"$1,874",871,Jan 2022,2604.37
35,GeForce RTX 3080,"$1,613",1569,Jan 2022,2604.37
36,GeForce RTX 3070 Ti,"$1,179",1010,Jan 2022,2604.37
37,GeForce RTX 3070,"$1,086",1786,Jan 2022,2604.37
38,GeForce RTX 3060 Ti,$923,2380,Jan 2022,2604.37
39,GeForce RTX 3060 12GB,$711,1834,Jan 2022,2604.37
40,GeForce RTX 3050,$539,17,Jan 2022,2604.37
41,Radeon RX 6900 XT,"$1,528",209,Jan 2022,2604.37
42,Radeon RX 6800 XT,"$1,269",250,Jan 2022,2604.37
43,Radeon RX 6800,"$1,150",105,Jan 2022,2604.37
44,Radeon RX 6700 XT,$847,540,Jan 2022,2604.37
45,Radeon RX 6600 XT,$610,537,Jan 2022,2604.37
46,Radeon RX 6600,$516,449,Jan 2022,2604.37
47,Radeon RX 6500 XT,$365,14,Jan 2022,2604.37
48,GeForce RTX 3090,"$2,918",1295,Dec 2021,3710.23
49,GeForce RTX 3080 Ti,"$1,992",1141,Dec 2021,3710.23
50,GeForce RTX 3080,"$1,783",1495,Dec 2021,3710.23
51,GeForce RTX 3070 Ti,"$1,244",1063,Dec 2021,3710.23
52,GeForce RTX 3070,"$1,179",1891,Dec 2021,3710.23
53,GeForce RTX 3060 Ti,"$1,007",2796,Dec 2021,3710.23
54,GeForce RTX 3060 12GB,$761,2020,Dec 2021,3710.23
55,Radeon RX 6900 XT,"$1,527",236,Dec 2021,3710.23
56,Radeon RX 6800 XT,"$1,387",234,Dec 2021,3710.23
57,Radeon RX 6800,"$1,282",90,Dec 2021,3710.23
58,Radeon RX 6700 XT,$898,584,Dec 2021,3710.23
59,Radeon RX 6600 XT,$659,282,Dec 2021,3710.23
60,Radeon RX 6600,$578,346,Dec 2021,3710.23
61,GeForce RTX 3090,"$2,936",1305,Nov 2021,4426.74
62,GeForce RTX 3080 Ti,"$1,895",1483,Nov 2021,4426.74
63,GeForce RTX 3080,"$1,720",1448,Nov 2021,4426.74
64,GeForce RTX 3070 Ti,"$1,201",1258,Nov 2021,4426.74
65,GeForce RTX 3070,"$1,193",2380,Nov 2021,4426.74
66,GeForce RTX 3060 Ti,"$1,002",2166,Nov 2021,4426.74
67,GeForce RTX 3060 12GB,$749,2159,Nov 2021,4426.74
68,Radeon RX 6900 XT,"$1,599",206,Nov 2021,4426.74
69,Radeon RX 6800 XT,"$1,384",283,Nov 2021,4426.74
70,Radeon RX 6800,"$1,332",123,Nov 2021,4426.74
71,Radeon RX 6700 XT,$945,661,Nov 2021,4426.74
72,Radeon RX 6600 XT,$665,857,Nov 2021,4426.74
73,Radeon RX 6600,$588,377,Nov 2021,4426.74
74,GeForce RTX 3090,"$2,737",1463,Oct 2021,4298.43
75,GeForce RTX 3080 Ti,"$1,829",1439,Oct 2021,4298.43
76,GeForce RTX 3080,"$1,666",1872,Oct 2021,4298.43
77,GeForce RTX 3070 Ti,"$1,124",1508,Oct 2021,4298.43
78,GeForce RTX 3070,"$1,144",2411,Oct 2021,4298.43
79,GeForce RTX 3060 Ti,$907,3782,Oct 2021,4298.43
80,GeForce RTX 3060 12GB,$698,2446,Oct 2021,4298.43
81,Radeon RX 6900 XT,"$1,512",302,Oct 2021,4298.43
82,Radeon RX 6800 XT,"$1,314",285,Oct 2021,4298.43
83,Radeon RX 6800,"$1,260",191,Oct 2021,4298.43
84,Radeon RX 6700 XT,$859,906,Oct 2021,4298.43
85,Radeon RX 6600 XT,$631,1026,Oct 2021,4298.43
86,Radeon RX 6600,$559,106,Oct 2021,4298.43
87,GeForce RTX 3090,"$2,702",1445,Sep 2021,2838.95
88,GeForce RTX 3080 Ti,"$1,831",1263,Sep 2021,2838.95
89,GeForce RTX 3080,"$1,677",1910,Sep 2021,2838.95
90,GeForce RTX 3070 Ti,"$1,172",935,Sep 2021,2838.95
91,GeForce RTX 3070,"$1,210",1923,Sep 2021,2838.95
92,GeForce RTX 3060 Ti,$915,3331,Sep 2021,2838.95
93,GeForce RTX 3060 12GB,$700,3087,Sep 2021,2838.95
94,Radeon RX 6900 XT,"$1,546",189,Sep 2021,2838.95
95,Radeon RX 6800 XT,"$1,323",321,Sep 2021,2838.95
96,Radeon RX 6800,"$1,293",148,Sep 2021,2838.95
97,Radeon RX 6700 XT,$858,838,Sep 2021,2838.95
98,Radeon RX 6600 XT,$591,1236,Sep 2021,2838.95
